,factor,sigma,std
0,1.01,0.01,0.00022550081221310765
1,1.01,0.013939393939393939,0.0003080456777319634
2,1.01,0.01787878787878788,0.00040350080387299155
3,1.01,0.02181818181818182,0.0004909562880400031
4,1.01,0.025757575757575757,0.0005739337531215761
5,1.01,0.0296969696969697,0.0006608214970314495
6,1.01,0.03363636363636364,0.0007521941470061105
7,1.01,0.037575757575757575,0.000840718533911563
8,1.01,0.04151515151515152,0.0009367558489821433
9,1.01,0.045454545454545456,0.001029404016051719
10,1.01,0.0493939393939394,0.0011182575159906733
11,1.01,0.05333333333333334,0.0012096702920733793
12,1.01,0.057272727272727274,0.0013056909363388315
13,1.01,0.06121212121212122,0.001395863920106812
14,1.01,0.06515151515151515,0.0014988907089438894
15,1.01,0.06909090909090909,0.0015777049244389228
16,1.01,0.07303030303030303,0.001654583276362164
17,1.01,0.07696969696969697,0.0017739098511540586
18,1.01,0.0809090909090909,0.0018564271873003561
19,1.01,0.08484848484848485,0.001936357224014873
20,1.01,0.08878787878787879,0.0020788833974987237
21,1.01,0.09272727272727273,0.002142585586464815
22,1.01,0.09666666666666666,0.0022669658879062907
23,1.01,0.1006060606060606,0.002351326700601611
24,1.01,0.10454545454545454,0.002456980194912702
25,1.01,0.10848484848484849,0.002479258254953461
26,1.01,0.11242424242424243,0.0026428181799739957
27,1.01,0.11636363636363636,0.002763735121539031
28,1.01,0.1203030303030303,0.0028878162957811314
29,1.01,0.12424242424242424,0.002996255675619323
30,1.01,0.1281818181818182,0.0030517547958728215
31,1.01,0.13212121212121214,0.0031684865600914223
32,1.01,0.13606060606060608,0.003360713756948745
33,1.01,0.14,0.003303108058085071
34,1.01,0.14393939393939395,0.0035663521731754268
35,1.01,0.1478787878787879,0.003654449054059834
36,1.01,0.15181818181818182,0.0037979180114470186
37,1.01,0.15575757575757576,0.00384754811898093
38,1.01,0.15969696969696973,0.003997082723308831
39,1.01,0.16363636363636366,0.003987905225289463
40,1.01,0.1675757575757576,0.004275473904802452
41,1.01,0.17151515151515154,0.0043488436825352165
42,1.01,0.17545454545454547,0.004423649598084316
43,1.01,0.1793939393939394,0.0045748368305539465
44,1.01,0.18333333333333335,0.0047622072990192
45,1.01,0.18727272727272729,0.004938348652096641
